"iso3","lng","lat","pending","zoom"
"PSE",34.3781801083842,31.4076403524348,FALSE,5.97556621208462
"PSE",35.2569570587456,31.9435212229275,FALSE,5.97556621208462
"PSE",35.0753338510843,31.8282990142058,FALSE,5.97556621208462
"PRT",-16.995288340577,32.7434480443757,FALSE,5.97556621208462
"XXX",79.1241774461306,35.0245117676495,FALSE,5.97556621208462
"XXX",94.3444899963937,28.1273382944481,FALSE,5.97556621208462
"XXX",79.3417995626974,32.8587853542249,FALSE,5.97556621208462
"XXX",35.0376405730019,4.76005845917613,FALSE,5.97556621208462
"XXX",75.8033550969477,34.5545005535921,FALSE,5.97556621208462
"RUS",147.876462455818,45.0679349162533,FALSE,5.97556621208462
"XXX",111.201084252349,15.7828990193374,FALSE,5.97556621208462
"XXX",117.721300050675,15.0904632334928,FALSE,5.97556621208462
"JPN",123.528313775656,25.7707190691728,FALSE,5.97556621208462
"XXX",115.8224272303,10.729704066862,FALSE,5.97556621208462
"JEY",-2.13767256305049,49.2196167968771,FALSE,5.97556621208462
"ABW",-69.9695090333901,12.5078379378533,FALSE,5.97556621208462
"AFG",66.0267523837979,33.8315426081895,TRUE,5.661958989
"AGO",17.5777544749415,-12.3363879198093,FALSE,5.97556621208462
"AIA",-63.0595678345005,18.2213565754335,FALSE,5.97556621208462
"ALB",20.0662457635367,41.1395603059479,FALSE,7.1349050228
"AND",1.57623361687542,42.5506606978687,FALSE,5.97556621208462
"ANT",-68.9682462153535,12.1854195945601,FALSE,5.97556621208462
"ARE",54.3376421290866,23.9028843204135,FALSE,5.97556621208462
"ARG",-65.1470482751963,-35.1976702273897,FALSE,5.97556621208462
"ARM",44.9368563514702,40.2954239382499,FALSE,5.97556621208462
"ASM",-170.718726886896,-14.3058730594042,FALSE,5.97556621208462
"ATA",21.4772389675965,-80.4089252556722,FALSE,5.97556621208462
"ATF",69.495149989872,-49.3170650117127,FALSE,5.97556621208462
"ATG",-61.7999755034265,17.0776147108652,FALSE,5.97556621208462
"AUS",134.349843250562,-25.5771987657621,FALSE,5.97556621208462
"AUT",14.1400297718402,47.5885230015713,FALSE,5.97556621208462
"AZE",48.9247080786414,40.3293318562695,FALSE,6.9313062731
"BDI",29.890484050151,-3.36648905990325,FALSE,5.97556621208462
"BEL",4.6608763231815,50.6417144532754,FALSE,5.97556621208462
"BEN",2.33977131472434,9.65027844932565,FALSE,5.97556621208462
"BFA",-1.74639890574063,12.27438385849,FALSE,6.4395445812
"BGD",90.2477865329397,23.9115468410116,FALSE,5.97556621208462
"BGR",25.2387522381233,42.7653514810553,FALSE,5.97556621208462
"BHR",50.5490753966243,26.0440774669781,FALSE,5.97556621208462
"BHS",-78.0511166324925,24.6954659736247,FALSE,5.97556621208462
"BIH",17.7844929299811,44.1715207888991,FALSE,5.97556621208462
"BLR",28.0545965432454,53.5426994447216,FALSE,5.97556621208462
"BLZ",-88.6997320581953,17.197346718289,FALSE,5.97556621208462
"BMU",-64.7894153421045,32.2975665023718,FALSE,5.97556621208462
"BOL",-64.6650465846413,-16.7093048348208,FALSE,5.97556621208462
"BRA",-53.0847937170299,-10.7758279052556,FALSE,5.97556621208462
"BRB",-59.5549492401119,13.1673112645848,FALSE,5.97556621208462
"BRN",114.62885191477,4.49740077843647,FALSE,5.97556621208462
"BTN",90.4482635385742,27.3899773482233,FALSE,5.97556621208462
"BVT",3.41073286817055,-54.4329590539665,FALSE,5.97556621208462
"BWA",23.8137495498835,-22.1880523360889,FALSE,5.97556621208462
"CAF",20.4855408544677,6.57549074343177,FALSE,5.6621024077
"CAN",-102.492117223175,58.0487479228347,FALSE,5.97556621208462
"CCK",96.8369470920657,-12.1556491067299,FALSE,5.97556621208462
"CHE",8.22664991770492,46.8063462755011,FALSE,5.97556621208462
"CHL",-71.2271552779785,-35.2479926737077,FALSE,5.97556621208462
"CHN",103.889458499755,36.6286258465911,FALSE,5.97556621208462
"CIV",-5.55319737783618,7.62380300408611,FALSE,6.3628902699
"CMR",12.7432580162635,5.6915073959694,FALSE,5.4318227915
"COD",23.6549148617603,-2.87713902083587,TRUE,4.936283365
"COG",15.2408192444107,-0.829315634437558,FALSE,5.5803572352
"COK",-159.771139084825,-21.226964584664,FALSE,5.97556621208462
"COL",-73.0797448064235,3.90776419003901,TRUE,5.97556621208462
"COM",43.3423456495336,-11.661217316631,FALSE,5.97556621208462
"CPV",-23.6354415128959,15.0779183360138,FALSE,5.97556621208462
"CRI",-84.1966864082287,9.97130441774096,FALSE,5.97556621208462
"CUB",-78.9284009869922,21.6101554763094,FALSE,5.97556621208462
"CXR",105.642606669196,-10.4882473002334,FALSE,5.97556621208462
"CYM",-81.2540963566645,19.3195035736462,FALSE,5.97556621208462
"CYP",33.2349155117713,35.0492421674794,FALSE,5.97556621208462
"CZE",15.3329606572765,49.7394480220523,FALSE,5.97556621208462
"DEU",10.3810957680054,51.0905089146448,FALSE,5.97556621208462
"DJI",42.5805116111101,11.7339222625176,FALSE,5.97556621208462
"DMA",-61.3562254849767,15.4270638888223,FALSE,5.97556621208462
"DNK",9.35795244029949,56.2642694382741,FALSE,5.97556621208462
"DOM",-70.4964273040312,18.89845639503,FALSE,5.97556621208462
"DZA",2.6769551893896,28.1577950374638,FALSE,5.97556621208462
"ECU",-78.3681227426796,-1.45402859862727,FALSE,5.97556621208462
"EGY",29.7724598452043,26.5676211885735,FALSE,5.97556621208462
"ERI",38.8198781296242,15.3800655548844,FALSE,5.97556621208462
"ESH",-13.1350895060943,24.6634616337315,FALSE,5.97556621208462
